Player,Ave,SR,Mat,BF,performance_score
"Zeeshan Khan (MLT)",22.85,120.59,43,777,16.1995465108565
"TC Barker (LUX)",22.41,120.71,40,724,16.190450000000002
"Imran Ali Butt (BHR)",23.72,99.23,25,526,16.167925
"D Doyle-Calle (ESP)",26.66,131.68,30,486,16.031924999999998
"A Vala (PNG)",26.39,121.78,54,932,15.98315277753769
"HL Carlyon (JER)",22.67,121.77,39,689,15.9485833327315
"Yasir Ali (ESP)",26.96,100.26,38,753,15.756029604719123
"TS Bharaj (DEN)",23.24,118.66,32,568,15.742031250000002
"Basil George (MLT)",22.62,124.18,34,583,15.7324264701025
"I Liyanage (QAT)",26.2,114.11,32,574,15.730066406250002
"Sarfaraz Ali (BHR)",23.06,146.25,47,694,15.625151594889125
"V Saini (ROM)",30.92,128.84,40,624,15.5766
"Azyan Farhath (MDV)",23.07,80.86,31,742,15.547592741306875
"A Mansale (VAN)",24.1,119.28,34,586,15.444977940596623
"AP Rajeevan (TAN)",26.97,114.05,50,875,15.424062499999998
"Iqbal Hossain (Aut)",25.33,162.19,25,328,15.376639999999998
"L Yamamoto-Lake (JPN)",23.26,142.74,33,489,15.373863636175
"BFW de Leede (NED)",29.5,106.04,34,612,15.248250000000002
"RG Mukasa (UGA)",23.25,120.77,58,982,15.240047413110249
"RB Patel (UGA)",25.96,103.33,42,779,14.987635416166437
"Saber Zakhil (Belg)",28.16,161.96,43,539,14.89457558029
"Hamza Dar (ESP)",28.78,134.06,28,408,14.830071428135248
"Ahmed Faiz (MAS)",25.23,123.63,81,1286,14.771138888073374
"Talha Khan (GER)",23.13,103.5,28,514,14.528531249886937
"RR Patel (KENYA)",31.93,144.14,54,709,14.448336804862688
"RN Patel (KENYA)",24.94,122.08,51,797,14.359674019247503
"Kushal Malla (NEP)",27.41,153.7,44,553,14.226396306612372
"V Vijh (LUX)",21.91,105.2,42,750,14.186383928457937
"Zubaidi Zulkifle (MAS)",21.12,144.44,60,819,14.124337500000001
"V Balakrishnan (BOT)",23.21,102.49,29,521,14.114159482460623
"Usman Patel (KUW)",26.02,130.13,50,720,14.0535
"Ravinderpal Singh (CAN)",26.25,147.88,33,426,14.049124999901062
"R Nehonde (BOT)",22.61,95.76,39,732,13.885711538290812
"KD Shah (HKG)",22.46,111.92,34,562,13.882639705289497
"CV Anto (KUW)",23.36,147.27,27,349,13.784692128642186
"KC D'Souza (BUL)",27.87,154.86,36,432,13.704750000000002
"TW Nightingale (GUE)",21.61,126.86,30,443,13.702543749381375
"KH Prajapati (OMA)",21.02,108.37,46,776,13.642206521422692
"JP Kotze (NAM)",22.72,118.85,41,631,13.617480182538374
"Muhammad Usman (UAE)",23.13,118.64,28,429,13.57574330319169
"Haider Butt (BHR)",25.42,116.79,50,762,13.5455025
"Rohan Mustafa (UAE)",23.8,123.18,33,483,13.445329545120503
"Zeeshan Maqsood (OMA)",27.48,120.4,55,799,13.42683181792975
"CJA Amini (PNG)",24.68,118.13,53,794,13.371596697692187
"ND Laegsgaard (DEN)",23.17,148.05,29,360,13.284310344347878
"M Coetzee (HKG)",19.88,133.59,28,387,13.257341517446063
"SA Ahmad (DEN)",22.96,105.7,33,543,13.23151136319775
"JJ Smit (NAM)",35.44,146.68,52,604,13.22121153802375
"J Mees (LUX)",22.15,118.16,40,600,13.1540625
"E Dusingizimana (RWN)",18.85,107.15,58,950,12.8987068959
"S Bau (PNG)",23.38,109.35,50,770,12.7752625
"J Rasu (VAN)",19.85,110.29,39,612,12.763730768980501
"H Singh (GER)",23.8,127.1,36,487,12.758385415933125
"SI Runsewe (NGA)",20.63,108.43,40,628,12.6640125
"M van Lingen (NAM)",19.18,115.88,30,447,12.577462500000001
"S Adedeji (NGA)",20.35,86.39,43,801,12.427142441364001
"FA Cossa (MOZ)",28.66,123.44,32,418,12.4175390625
"MH Cross (SCOT)",23.18,108.05,47,708,12.355164893425062
"Mohammed Rizlan (QAT)",27.68,116.88,33,450,12.320454545126
"O Harvey (GHA)",20.69,98.27,42,695,12.3031547614445
"Umar Adam (MDV)",18.11,135.4,44,562,12.254633522029499
"Raza Iqbal (NOR)",18.71,117.75,31,445,12.242883063938375
"R Bakum (GHA)",19.08,115.92,42,609,12.234375
"Zeeshan Ali (HKG)",28.95,139.55,44,498,11.91946022708125
"D Kansonkho (MWI)",19.51,91.6,41,703,11.907062499712062
"D Wiese (NAM)",28,128.81,34,413,11.904876837716438
"O Tuyisenge (RWN)",17.77,104.89,77,1186,11.80801623330825
"SSM Stanislaus (MLT)",20.22,103.29,40,607,11.714151562500001
"DM Nakrani (UGA)",27,127.83,60,697,11.241303124354875
"B Arora (MLT)",19.66,90.66,56,911,11.216687499409
"J Barker (LUX)",23.59,97.92,36,530,11.180607638720124
"Mohamed Rishwan (MDV)",16.48,91.89,36,592,11.138027777476749
"Ayaan Khan (OMA)",19.35,108.89,41,551,10.771378048585001
"B Ward (JER)",24.91,131.12,40,437,10.653923437500001
"SKA Awiah (GHA)",18.63,93.01,40,601,10.48369375
"AR Ramjani (UGA)",22.38,127.91,43,455,9.93923691781825
"Janak Prakash (SGP)",20.27,125.91,43,467,9.922392441605501
"Imran Anwar (BHR)",20.77,133.57,55,560,9.821636362847126
"S Singh (KENYA)",20.18,107.28,42,508,9.635369047429375
"Adnan Idrees (KUW)",16.34,136.91,38,382,9.628536183303124
"Naseem Khushi (OMA)",19.45,158.51,47,405,9.584281914231
"SA Edwards (NED)",19.54,120.02,63,684,9.47014285701825
"Basil Hameed (UAE)",21.74,125.16,59,608,9.461355931503126
"K Nassoro (TAN)",18.72,97.51,65,845,9.443687500000001
"L Siaka (PNG)",16.95,117.79,53,590,9.374599056015875
"Yasim Murtaza (HKG)",17.05,119.22,47,515,9.332320478288501
"D Ndikubwimana (RWN)",14.9,77.67,64,1017,9.1937197265625
"MNM Aslam (KUW)",21.82,113.1,61,656,9.06839344207
"V Ganesan (GER)",18.61,105.67,47,546,9.023521276133
"Aizaz Khan (HKG)",17.2,112.01,62,691,9.000414314255627
"O Manishimwe (RWN)",15.9,92.39,56,723,8.738132812016563
"W Niyitanga (RWN)",13.18,84,54,769,8.6494699069575
"N Vanua (PNG)",18,132.58,49,448,8.604571427764752
"JN Frylinck (NAM)",22.51,107.21,62,651,8.512875
"MA Leask (SCOT)",16.22,133.96,47,424,8.467595743981875
"Bilal Tahir (KUW)",19.66,135.11,46,393,8.264213314376251
"P Mishra (BUL)",13.76,120.16,50,481,8.051939999999998
"S Muniandy (MAS)",17.32,116.25,85,775,7.611525734606624
"Muhammad Amir (MAS)",14.29,104.96,50,504,7.5127500000000005
"K Waiswa (UGA)",15.84,106.73,72,683,7.266953992970438
"MO Kitunda (TAN)",13.3,93.79,55,596,7.252913636120249
"C Rubagumya (RWN)",13.62,86.62,66,755,7.166780302783501
